Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2000","2000","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2001","2001","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2002","2002","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2003","2003","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2004","2004","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2005","2005","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2006","2006","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2007","2007","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2008","2008","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2009","2009","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2010","2010","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2011","2011","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2012","2012","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2013","2013","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2014","2014","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2015","2015","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2016","2016","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2017","2017","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2018","2018","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2019","2019","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2020","2020","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6601","Land area","2021","2021","1000 ha","835814","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2000","2000","1000 ha","54870","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2001","2001","1000 ha","55823","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2002","2002","1000 ha","56776","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2003","2003","1000 ha","57729","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2004","2004","1000 ha","58682","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2005","2005","1000 ha","59635","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2006","2006","1000 ha","60593","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2007","2007","1000 ha","60859","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2008","2008","1000 ha","61125","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2009","2009","1000 ha","61391","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2010","2010","1000 ha","61657","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2011","2011","1000 ha","61923","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2012","2012","1000 ha","62189","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2013","2013","1000 ha","62455","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2014","2014","1000 ha","62721","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2015","2015","1000 ha","62987","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2016","2016","1000 ha","63253","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2017","2017","1000 ha","63517.8","A","Official figure",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2018","2018","1000 ha","64141","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2019","2019","1000 ha","64763.69","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2020","2020","1000 ha","65386.28","I","Imputed value",""
"RL","Land Use","076","Brazil","5110","Area","6620","Cropland","2021","2021","1000 ha","66008.76","I","Imputed value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2000","2000","1000 ha","942470","A","Official figure",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2001","2001","1000 ha","942470.02","A","Official figure",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2002","2002","1000 ha","942470.02","A","Official figure",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2003","2003","1000 ha","942469.97","A","Official figure",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2004","2004","1000 ha","942470.05","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2005","2005","1000 ha","942469.98","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2006","2006","1000 ha","942470","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2007","2007","1000 ha","942470","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2008","2008","1000 ha","942470","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2009","2009","1000 ha","942470.05","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2010","2010","1000 ha","942470.07","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2011","2011","1000 ha","942470.09","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2012","2012","1000 ha","942470.09","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2013","2013","1000 ha","942470.13","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2014","2014","1000 ha","942470.13","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2015","2015","1000 ha","942470.14","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2016","2016","1000 ha","942470.05","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2017","2017","1000 ha","942470.08","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2018","2018","1000 ha","942470.29","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2019","2019","1000 ha","942470.29","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2020","2020","1000 ha","942470.29","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6601","Land area","2021","2021","1000 ha","942470.3","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2000","2000","1000 ha","130897","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2001","2001","1000 ha","131488.8444","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2002","2002","1000 ha","132080.6889","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2003","2003","1000 ha","132671.5333","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2004","2004","1000 ha","133257.3778","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2005","2005","1000 ha","133848.2222","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2006","2006","1000 ha","134438.0667","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2007","2007","1000 ha","135027.9111","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2008","2008","1000 ha","135617.7556","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2009","2009","1000 ha","136204.6","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2010","2010","1000 ha","135449.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2011","2011","1000 ha","134692.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2012","2012","1000 ha","133934.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2013","2013","1000 ha","133179.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2014","2014","1000 ha","132426.8","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2015","2015","1000 ha","131671.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2016","2016","1000 ha","130916.5","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2017","2017","1000 ha","130163.3","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2018","2018","1000 ha","129408.6","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2019","2019","1000 ha","128656.2","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2020","2020","1000 ha","128655.1","E","Estimated value",""
"RL","Land Use","159","China","5110","Area","6620","Cropland","2021","2021","1000 ha","128652","E","Estimated value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2000","2000","1000 ha","187751.9","B","Time series break",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2001","2001","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2002","2002","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2003","2003","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2004","2004","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2005","2005","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2006","2006","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2007","2007","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2008","2008","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2009","2009","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2010","2010","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2011","2011","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2012","2012","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2013","2013","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2014","2014","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2015","2015","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2016","2016","1000 ha","187751.9","A","Official figure",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2017","2017","1000 ha","187751.9","A","Official figure",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2018","2018","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2019","2019","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2020","2020","1000 ha","187751.9","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6601","Land area","2021","2021","1000 ha","189255.547","A","Official figure",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2000","2000","1000 ha","36000","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2001","2001","1000 ha","37575","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2002","2002","1000 ha","38850","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2003","2003","1000 ha","40125","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2004","2004","1000 ha","40900","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2005","2005","1000 ha","41130","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2006","2006","1000 ha","42260","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2007","2007","1000 ha","43290","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2008","2008","1000 ha","43620","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2009","2009","1000 ha","44350","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2010","2010","1000 ha","44380","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2011","2011","1000 ha","45410","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2012","2012","1000 ha","45440","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2013","2013","1000 ha","45970","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2014","2014","1000 ha","46300","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2015","2015","1000 ha","46800","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2016","2016","1000 ha","48700","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2017","2017","1000 ha","52300","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2018","2018","1000 ha","52900","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2019","2019","1000 ha","53100","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2020","2020","1000 ha","53300","I","Imputed value",""
"RL","Land Use","360","Indonesia","5110","Area","6620","Cropland","2021","2021","1000 ha","53600","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2000","2000","1000 ha","916192","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2001","2001","1000 ha","916192","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2002","2002","1000 ha","916192","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2003","2003","1000 ha","916192","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2004","2004","1000 ha","916192","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2005","2005","1000 ha","916192","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2006","2006","1000 ha","916192","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2007","2007","1000 ha","916192","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2008","2008","1000 ha","914742","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2009","2009","1000 ha","914742","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2010","2010","1000 ha","914742","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2011","2011","1000 ha","914742","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2012","2012","1000 ha","914742","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2013","2013","1000 ha","914742","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2014","2014","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2015","2015","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2016","2016","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2017","2017","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2018","2018","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2019","2019","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2020","2020","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6601","Land area","2021","2021","1000 ha","914742","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2000","2000","1000 ha","178068","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2001","2001","1000 ha","178100","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2002","2002","1000 ha","175707","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2003","2003","1000 ha","173461.3","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2004","2004","1000 ha","171215.9","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2005","2005","1000 ha","168970.6","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2006","2006","1000 ha","166725.3","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2007","2007","1000 ha","164480","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2008","2008","1000 ha","163125.5","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2009","2009","1000 ha","161771","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2010","2010","1000 ha","160416.5","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2011","2011","1000 ha","159062","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2012","2012","1000 ha","157707.5","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2013","2013","1000 ha","158253.4","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2014","2014","1000 ha","158799.3","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2015","2015","1000 ha","159345.1","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2016","2016","1000 ha","159891","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2017","2017","1000 ha","160436.8","A","Official figure",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2018","2018","1000 ha","160436.8","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2019","2019","1000 ha","160436.8","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2020","2020","1000 ha","160436.8","I","Imputed value",""
"RL","Land Use","840","United States of America","5110","Area","6620","Cropland","2021","2021","1000 ha","160436.8","I","Imputed value",""
